Metropolitan Statisical Area,All items,Goods,Housing,Utilities,Other
"Grand Junction, CO",94.7,95.9,95.9,83.8,94.2
"Grand Rapids-Kentwood, MI",94.7,93.5,88.5,96,97.6
"Grants Pass, OR",98,103.4,88.1,88.6,100.6
"Great Falls, MT",86.3,95.9,53.2,80.9,95.8
"Greeley, CO",98.4,95.9,118.1,83.9,94.2
"Green Bay, WI",91.7,94.2,72,90.2,97.3
"Greensboro-High Point, NC",90.4,95.4,69.9,99.2,95.7
"Greenville, NC",90.5,95.4,68,99.1,95.7
"Greenville-Anderson, SC",91,95.4,72.1,103.4,95.5
"Gulfport-Biloxi, MS",90.8,95.6,68.5,110,96.8
"Hagerstown-Martinsburg, MD-WV",91.9,95.3,75.7,99.3,95.9
"Hammond, LA",90.7,95.8,64.4,100.1,99.8
"Hanford-Corcoran, CA",96.1,103.2,72.7,95.5,101.4
"Harrisburg-Carlisle, PA",96.5,98.5,83.5,95.2,99.5
"Harrisonburg, VA",93.5,95,85.8,99.3,95.5
"Hartford-East Hartford-Middletown, CT",102.9,99,112,103.9,102.6
"Hattiesburg, MS",89.4,95.6,61.7,110,96.8
"Hickory-Lenoir-Morganton, NC",87.7,95.4,58.2,99.1,95.7
"Hilton Head Island-Bluffton, SC",98,95.4,108.3,103.4,95.5
"Hinesville, GA",93.6,95,84.1,109.7,95.3
"Homosassa Springs, FL",92.3,95.1,79.8,92.5,96.2
"Hot Springs, AR",87.5,95.1,55.9,103.2,99.9
"Houma-Thibodaux, LA",91.9,95.8,65.7,100.1,99.8
"Houston-The Woodlands-Sugar Land, TX",100.1,95.7,108.1,111.5,100.6
"Huntington-Ashland, WV-KY-OH",86.5,95.2,53.7,99.7,96
"Huntsville, AL",92.1,95.1,68.1,118.4,97.8
"Idaho Falls, ID",91.1,95.2,76.1,77,95.1
"Indianapolis-Carmel-Anderson, IN",94.7,94,86.9,105.4,97.4
"Iowa City, IA",95.3,95,91.1,98.5,96.9
"Ithaca, NY",105.8,98.4,141.2,94.1,99.9
"Jackson, MI",92.7,93.5,79.3,95.8,97.6
"Jackson, MS",90.1,95.6,62.4,110.1,96.8
"Jackson, TN",84.1,95.3,47.2,102.3,96.4
"Jacksonville, FL",96.3,95.1,100,92.7,96.2
"Jacksonville, NC",90.8,95.4,72.5,99.2,95.7
"Janesville-Beloit, WI",92.4,94.2,77,90.2,97.3
"Jefferson City, MO",88.9,95.1,61.8,105.9,96.5
"Johnson City, TN",88.9,95.3,64.4,102.3,96.4
"Johnstown, PA",84.3,98.5,41.4,95.4,99.5
"Jonesboro, AR",87.2,95.1,52,103.1,99.9
"Joplin, MO",87.5,95.1,53.4,105.9,96.5
"Kahului-Wailuku-Lahaina, HI",109,111.9,128.2,104.9,100.7
"Kalamazoo-Portage, MI",93,93.5,78.6,95.8,97.6
"Kankakee, IL",94.1,94,86.4,93.3,97.6
