,,Per capita personal income (dollars),,
Evangeline,Louisiana,"32,682","33,380","37,820"
Franklin,Louisiana,"31,338","32,965","37,754"
Grant,Louisiana,"30,911","31,756","34,870"
Iberia,Louisiana,"39,161","41,006","44,242"
Iberville,Louisiana,"41,120","43,494","46,461"
Jackson,Louisiana,"33,451","34,499","37,665"
Jefferson,Louisiana,"50,428","51,950","55,373"
Jefferson Davis,Louisiana,"41,482","42,513","45,620"
Lafayette,Louisiana,"49,004","49,632","52,507"
Lafourche,Louisiana,"44,617","45,884","48,741"
LaSalle,Louisiana,"31,663","33,808","36,116"
Lincoln,Louisiana,"39,587","42,155","44,944"
Livingston,Louisiana,"42,712","43,122","45,620"
Madison,Louisiana,"31,209","32,651","38,337"
Morehouse,Louisiana,"37,277","39,290","44,187"
Natchitoches,Louisiana,"39,755","41,113","43,702"
Orleans,Louisiana,"51,494","53,142","57,421"
Ouachita,Louisiana,"41,180","42,164","45,661"
Plaquemines,Louisiana,"47,787","48,482","51,456"
Pointe Coupee,Louisiana,"46,073","48,688","52,332"
Rapides,Louisiana,"44,779","46,666","50,226"
Red River,Louisiana,"44,816","42,778","45,680"
Richland,Louisiana,"37,104","38,908","42,644"
Sabine,Louisiana,"35,136","36,280","38,190"
St. Bernard,Louisiana,"31,809","32,956","36,093"
St. Charles,Louisiana,"48,688","50,137","53,148"
St. Helena,Louisiana,"43,721","44,753","48,743"
St. James,Louisiana,"51,349","53,762","56,880"
St. John the Baptist,Louisiana,"40,383","42,329","45,927"
St. Landry,Louisiana,"40,083","42,357","46,131"
St. Martin,Louisiana,"38,074","39,293","42,203"
St. Mary,Louisiana,"39,626","41,877","45,760"
St. Tammany,Louisiana,"64,928","68,914","70,190"
Tangipahoa,Louisiana,"37,928","38,963","41,792"
Tensas,Louisiana,"37,402","41,879","44,043"
Terrebonne,Louisiana,"41,236","42,545","45,942"
Union,Louisiana,"40,170","41,110","43,609"
Vermilion,Louisiana,"39,150","40,111","42,526"
Vernon,Louisiana,"40,793","42,488","45,320"
Washington,Louisiana,"33,530","35,224","38,515"
Webster,Louisiana,"39,901","41,473","45,088"
West Baton Rouge,Louisiana,"47,177","49,018","51,758"
West Carroll,Louisiana,"34,570","32,175","37,148"
West Feliciana,Louisiana,"38,264","39,414","41,145"
Winn,Louisiana,"35,988","38,645","41,491"
Maine,Maine,"48,594","50,421","54,211"
Androscoggin,Maine,"40,869","42,698","46,357"
Aroostook,Maine,"40,917","42,664","47,605"
Cumberland,Maine,"62,198","64,361","68,237"
Franklin,Maine,"38,681","40,425","43,276"
Hancock,Maine,"50,442","52,016","55,393"
Kennebec,Maine,"44,735","46,677","50,469"
Knox,Maine,"49,849","51,685","54,363"
Lincoln,Maine,"49,933","51,621","54,300"
Oxford,Maine,"37,756","38,988","42,327"
Penobscot,Maine,"41,554","43,083","47,315"
Piscataquis,Maine,"38,677","39,349","42,527"
Sagadahoc,Maine,"50,918","52,383","55,965"
Somerset,Maine,"37,605","39,093","43,134"
Waldo,Maine,"41,442","44,116","47,495"
Washington,Maine,"39,602","40,813","45,558"
York,Maine,"52,537","54,396","58,038"
Maryland,Maryland,"61,600","62,989","66,799"
Allegany,Maryland,"39,391","40,687","43,970"
Anne Arundel,Maryland,"66,510","68,314","72,197"
Baltimore,Maryland,"59,695","62,543","66,585"
Calvert,Maryland,"61,389","63,247","66,469"
Caroline,Maryland,"44,700","45,657","48,393"
Carroll,Maryland,"61,328","63,409","66,901"
Cecil,Maryland,"47,516","48,834","51,853"
Charles,Maryland,"55,839","57,196","61,324"
Dorchester,Maryland,"44,828","46,514","49,921"
Frederick,Maryland,"61,728","62,804","66,664"
Garrett,Maryland,"43,822","45,630","48,630"
Harford,Maryland,"57,839","59,653","63,432"
Howard,Maryland,"76,499","78,033","81,969"
Kent,Maryland,"58,935","60,407","64,331"
Montgomery,Maryland,"86,316","86,221","89,552"
Prince George's,Maryland,"48,421","49,947","54,195"
Queen Anne's,Maryland,"63,043","64,996","67,861"
St. Mary's,Maryland,"56,372","57,891","61,144"
Somerset,Maryland,"29,978","30,623","32,531"
Talbot,Maryland,"70,343","72,729","76,528"
Washington,Maryland,"45,700","47,071","50,493"
Wicomico,Maryland,"40,321","41,134","44,184"
Worcester,Maryland,"56,079","56,536","59,881"
Baltimore City,Maryland,"49,219","49,964","54,097"
Massachusetts,Massachusetts,"70,610","73,477","78,458"
Barnstable,Massachusetts,"71,735","75,339","80,420"
Berkshire,Massachusetts,"55,947","57,300","61,872"
Bristol,Massachusetts,"53,044","55,411","61,031"
Dukes,Massachusetts,"87,311","87,121","89,757"
Essex,Massachusetts,"66,196","68,854","74,519"
Franklin,Massachusetts,"54,032","55,859","59,853"
Hampden,Massachusetts,"51,183","52,905","57,821"
Hampshire,Massachusetts,"52,165","53,816","57,030"
Middlesex,Massachusetts,"82,826","86,525","90,688"
Nantucket,Massachusetts,"113,809","115,305","114,832"
Norfolk,Massachusetts,"90,442","93,470","98,019"
Plymouth,Massachusetts,"66,219","68,792","74,034"
Suffolk,Massachusetts,"80,916","84,307","90,571"
Worcester,Massachusetts,"55,971","58,196","63,286"
Michigan,Michigan,"47,708","49,277","53,259"
Alcona,Michigan,"38,678","40,579","44,953"
Alger,Michigan,"33,280","34,032","37,951"
Allegan,Michigan,"45,086","46,185","50,091"
Alpena,Michigan,"40,050","41,212","45,685"
Antrim,Michigan,"46,307","48,432","52,490"
Arenac,Michigan,"37,333","38,639","43,466"
Baraga,Michigan,"32,398","34,274","38,750"
Barry,Michigan,"44,431","45,920","49,232"
Bay,Michigan,"42,286","43,554","47,786"
Benzie,Michigan,"44,188","45,896","50,509"
Berrien,Michigan,"47,325","48,231","52,395"
Branch,Michigan,"36,349","37,942","42,356"
Calhoun,Michigan,"39,189","40,428","44,729"
Cass,Michigan,"44,529","45,216","50,365"
Charlevoix,Michigan,"51,899","53,133","57,289"
Cheboygan,Michigan,"38,602","40,138","44,801"
Chippewa,Michigan,"33,642","35,284","39,693"
Clare,Michigan,"34,501","34,619","38,655"
Clinton,Michigan,"46,013","47,341","51,053"
Crawford,Michigan,"34,583","35,237","39,405"
Delta,Michigan,"39,332","40,957","45,260"
Dickinson,Michigan,"47,908","48,949","53,526"
Eaton,Michigan,"42,326","43,537","47,407"
Emmet,Michigan,"55,980","58,548","62,918"
Genesee,Michigan,"40,495","41,940","46,152"
Gladwin,Michigan,"36,249","37,307","40,772"
Gogebic,Michigan,"39,296","43,769","47,894"
Grand Traverse,Michigan,"50,582","52,631","56,861"
Gratiot,Michigan,"36,786","37,530","42,067"
Hillsdale,Michigan,"35,290","35,801","39,404"
Houghton,Michigan,"37,069","38,870","42,884"
Huron,Michigan,"44,793","45,933","53,638"
Ingham,Michigan,"39,912","41,298","44,957"
Ionia,Michigan,"34,824","35,503","39,366"
Iosco,Michigan,"36,720","38,943","43,618"
Iron,Michigan,"43,659","45,446","49,153"
Isabella,Michigan,"34,961","36,275","40,021"
Jackson,Michigan,"39,359","40,413","44,889"
Kalamazoo,Michigan,"47,968","49,305","52,403"
Kalkaska,Michigan,"35,103","36,085","41,545"
Kent,Michigan,"52,153","53,799","57,397"
Keweenaw,Michigan,"46,617","48,537","51,972"
Lake,Michigan,"33,117","34,379","39,507"
Lapeer,Michigan,"43,493","44,862","49,441"
Leelanau,Michigan,"66,770","69,373","73,238"
Lenawee,Michigan,"39,559","40,866","44,821"
Livingston,Michigan,"57,832","59,097","62,622"
Luce,Michigan,"30,740","31,604","36,339"
Mackinac,Michigan,"43,071","44,986","50,217"
Macomb,Michigan,"46,350","47,730","52,195"
Manistee,Michigan,"39,516","40,663","44,382"
Marquette,Michigan,"39,083","40,284","44,445"
Mason,Michigan,"40,297","41,185","45,326"
Mecosta,Michigan,"33,334","33,868","37,579"
Menominee,Michigan,"42,485","43,943","47,594"
Midland,Michigan,"53,973","54,477","57,561"
Missaukee,Michigan,"34,818","35,914","40,298"
Monroe,Michigan,"47,091","48,696","52,028"
Montcalm,Michigan,"34,427","35,911","40,018"
Montmorency,Michigan,"36,806","37,620","42,154"
Muskegon,Michigan,"38,141","39,769","44,000"
Newaygo,Michigan,"37,123","38,246","42,117"
Oakland,Michigan,"71,324","73,468","76,941"
Oceana,Michigan,"37,497","38,890","43,261"
Ogemaw,Michigan,"34,684","34,411","39,101"
Ontonagon,Michigan,"38,911","41,340","45,761"
Osceola,Michigan,"36,203","37,980","41,965"
Oscoda,Michigan,"33,504","34,394","36,374"
Otsego,Michigan,"40,141","41,634","46,166"
Ottawa,Michigan,"48,391","49,484","52,759"
Presque Isle,Michigan,"39,668","41,339","45,872"
Roscommon,Michigan,"36,156","37,140","41,258"
Saginaw,Michigan,"39,289","41,659","45,328"
St. Clair,Michigan,"44,050","45,787","50,107"
St. Joseph,Michigan,"37,935","39,092","43,818"
Sanilac,Michigan,"37,459","38,005","44,093"
Schoolcraft,Michigan,"39,576","40,822","45,281"
Shiawassee,Michigan,"39,215","40,589","44,855"
Tuscola,Michigan,"36,808","38,014","43,073"
Van Buren,Michigan,"40,711","41,686","45,869"
Washtenaw,Michigan,"58,667","61,101","63,655"
Wayne,Michigan,"42,635","44,308","48,788"
Wexford,Michigan,"36,027","37,750","41,545"
Minnesota,Minnesota,"56,986","58,426","62,005"
Aitkin,Minnesota,"40,077","41,614","46,390"
Anoka,Minnesota,"51,277","52,722","55,694"
Becker,Minnesota,"46,679","48,065","51,772"
Beltrami,Minnesota,"41,220","42,096","45,368"
Benton,Minnesota,"43,993","45,690","49,403"
Big Stone,Minnesota,"51,804","51,543","62,498"
Blue Earth,Minnesota,"44,716","45,586","49,288"
Brown,Minnesota,"52,235","54,004","59,763"
Carlton,Minnesota,"42,664","44,132","47,227"
Carver,Minnesota,"71,681","73,023","75,677"
Cass,Minnesota,"46,777","47,734","51,340"
Chippewa,Minnesota,"46,774","51,352","56,148"
Chisago,Minnesota,"48,693","50,229","53,140"
Clay,Minnesota,"42,385","43,630","47,522"
Clearwater,Minnesota,"43,596","44,428","49,654"
Cook,Minnesota,"54,255","54,021","56,220"
Cottonwood,Minnesota,"46,224","45,306","56,130"
Crow Wing,Minnesota,"44,425","46,053","49,092"
Dakota,Minnesota,"60,539","61,977","64,748"
Dodge,Minnesota,"45,757","46,516","51,585"
Douglas,Minnesota,"51,458","52,139","56,039"
Faribault,Minnesota,"40,793","42,944","50,321"
Fillmore,Minnesota,"44,225","44,185","49,630"
Freeborn,Minnesota,"44,169","45,543","50,364"
Goodhue,Minnesota,"53,617","54,722","58,303"
Grant,Minnesota,"46,236","45,370","55,429"
Hennepin,Minnesota,"74,461","76,131","79,183"
Houston,Minnesota,"50,599","51,566","55,443"
Hubbard,Minnesota,"43,616","49,506","52,122"
Isanti,Minnesota,"44,570","45,950","49,082"
Itasca,Minnesota,"44,119","45,348","48,872"
Jackson,Minnesota,"50,891","53,316","62,789"
Kanabec,Minnesota,"41,793","43,250","48,092"
Kandiyohi,Minnesota,"52,609","52,047","57,122"
Kittson,Minnesota,"49,233","46,418","63,181"
Koochiching,Minnesota,"42,319","45,763","49,019"
Lac qui Parle,Minnesota,"48,854","50,540","60,286"
Lake,Minnesota,"48,473","49,236","51,683"
Lake of the Woods,Minnesota,"57,082","54,717","60,435"
Le Sueur,Minnesota,"48,800","50,038","54,361"
Lincoln,Minnesota,"44,049","46,968","53,464"
Lyon,Minnesota,"49,344","49,992","54,589"
McLeod,Minnesota,"48,308","49,640","54,149"
Mahnomen,Minnesota,"34,794","34,186","40,781"
Marshall,Minnesota,"50,342","49,025","63,090"
Martin,Minnesota,"50,865","52,242","57,955"
Meeker,Minnesota,"44,042","44,873","49,478"
Mille Lacs,Minnesota,"42,000","43,471","47,379"
Morrison,Minnesota,"42,263","42,293","47,610"
Mower,Minnesota,"45,464","46,221","50,537"
Murray,Minnesota,"50,291","52,414","63,620"
Nicollet,Minnesota,"48,552","49,652","53,083"
Nobles,Minnesota,"43,870","44,897","53,881"
Norman,Minnesota,"37,153","37,345","51,626"
Olmsted,Minnesota,"58,183","59,450","63,100"
Otter Tail,Minnesota,"47,182","48,116","52,707"
Pennington,Minnesota,"55,622","56,612","61,825"
Pine,Minnesota,"37,085","38,737","42,237"
Pipestone,Minnesota,"54,290","54,055","59,326"
Polk,Minnesota,"46,019","47,089","55,849"
Pope,Minnesota,"49,895","50,171","56,561"
Ramsey,Minnesota,"53,728","55,442","58,557"
Red Lake,Minnesota,"49,792","48,415","55,620"
Redwood,Minnesota,"49,591","53,572","61,772"
Renville,Minnesota,"49,351","48,527","58,489"
Rice,Minnesota,"43,652","44,816","47,839"
Rock,Minnesota,"50,509","50,595","59,225"
Roseau,Minnesota,"49,013","48,237","55,999"
St. Louis,Minnesota,"46,769","48,216","50,986"
Scott,Minnesota,"61,376","62,916","65,655"
Sherburne,Minnesota,"46,776","47,802","50,710"
Sibley,Minnesota,"45,909","47,932","53,677"
Stearns,Minnesota,"46,305","47,483","51,216"
Steele,Minnesota,"45,969","47,429","51,703"
Stevens,Minnesota,"45,439","46,825","55,345"
Swift,Minnesota,"49,216","48,734","56,060"
Todd,Minnesota,"42,147","43,113","47,123"
Traverse,Minnesota,"52,791","51,487","74,000"
Wabasha,Minnesota,"47,643","49,096","53,837"
Wadena,Minnesota,"39,477","40,131","43,925"
Waseca,Minnesota,"41,775","42,148","47,139"
Washington,Minnesota,"67,523","69,495","72,273"
Watonwan,Minnesota,"43,256","45,378","53,034"
Wilkin,Minnesota,"53,023","51,647","62,497"
Winona,Minnesota,"47,064","48,417","52,198"
Wright,Minnesota,"50,890","52,035","55,218"
Yellow Medicine,Minnesota,"51,140","54,077","61,315"
Mississippi,Mississippi,"37,822","39,062","42,129"
Adams,Mississippi,"33,741","35,171","38,331"
Alcorn,Mississippi,"36,146","36,622","38,956"
Amite,Mississippi,"34,755","35,482","37,692"
Attala,Mississippi,"32,970","34,612","37,962"
Benton,Mississippi,"30,870","31,413","34,691"
Bolivar,Mississippi,"38,076","38,102","42,767"
Calhoun,Mississippi,"32,428","33,690","38,017"
Carroll,Mississippi,"37,627","38,098","41,624"
Chickasaw,Mississippi,"34,432","36,206","40,254"
Choctaw,Mississippi,"33,277","34,996","38,813"
Claiborne,Mississippi,"30,524","31,580","34,852"
Clarke,Mississippi,"37,534","38,710","42,207"
Clay,Mississippi,"36,184","38,522","42,187"
Coahoma,Mississippi,"34,602","37,050","40,781"
Copiah,Mississippi,"32,988","34,056","36,414"
Covington,Mississippi,"37,223","37,410","38,250"
DeSoto,Mississippi,"41,695","42,575","45,764"
Forrest,Mississippi,"38,441","39,104","42,175"
Franklin,Mississippi,"33,767","35,842","38,355"
George,Mississippi,"33,726","34,482","38,668"
Greene,Mississippi,"27,889","28,975","31,102"
Grenada,Mississippi,"35,571","36,642","40,296"
Hancock,Mississippi,"34,782","36,243","39,455"
Harrison,Mississippi,"37,073","38,245","41,534"
Hinds,Mississippi,"38,549","40,176","43,452"
Holmes,Mississippi,"28,108","29,967","33,567"
Humphreys,Mississippi,"31,826","34,850","40,236"
Issaquena,Mississippi,"21,654","26,748","38,921"
Itawamba,Mississippi,"35,614","36,827","39,878"
Jackson,Mississippi,"37,234","38,663","41,575"
Jasper,Mississippi,"39,377","40,697","41,967"
Jefferson,Mississippi,"34,309","35,326","38,101"
Jefferson Davis,Mississippi,"30,306","30,640","33,434"
Jones,Mississippi,"37,651","38,659","40,402"
Kemper,Mississippi,"28,981","29,942","33,841"
Lafayette,Mississippi,"42,819","43,865","46,037"
Lamar,Mississippi,"39,625","40,582","43,227"
Lauderdale,Mississippi,"37,635","39,481","42,673"
Lawrence,Mississippi,"34,872","34,769","36,649"
Leake,Mississippi,"31,990","31,914","32,239"
Lee,Mississippi,"41,276","42,835","46,138"
Leflore,Mississippi,"36,841","39,296","43,878"
Lincoln,Mississippi,"38,537","39,466","42,121"
Lowndes,Mississippi,"38,333","40,785","44,152"
Madison,Mississippi,"63,894","65,334","68,381"
Marion,Mississippi,"37,823","38,467","41,433"
Marshall,Mississippi,"33,096","34,601","37,543"
Monroe,Mississippi,"35,197","36,370","39,729"
Montgomery,Mississippi,"33,868","35,526","39,432"
Neshoba,Mississippi,"36,067","37,731","38,507"
Newton,Mississippi,"35,116","36,017","37,484"
Noxubee,Mississippi,"31,555","34,842","37,781"
Oktibbeha,Mississippi,"34,543","35,408","37,853"
Panola,Mississippi,"32,844","33,845","37,593"
Pearl River,Mississippi,"36,369","37,849","40,201"
Perry,Mississippi,"32,631","33,510","36,953"
Pike,Mississippi,"30,772","31,673","34,718"
Pontotoc,Mississippi,"33,007","33,953","37,342"
Prentiss,Mississippi,"30,407","31,461","34,158"
Quitman,Mississippi,"28,336","29,765","34,239"
Rankin,Mississippi,"44,657","45,632","48,295"
Scott,Mississippi,"31,449","31,657","32,840"
Sharkey,Mississippi,"32,747","34,344","42,775"
Simpson,Mississippi,"36,995","37,381","38,987"
Smith,Mississippi,"35,968","36,086","36,494"
Stone,Mississippi,"33,273","34,214","37,001"
Sunflower,Mississippi,"30,039","30,865","35,454"
Tallahatchie,Mississippi,"28,886","30,200","33,784"
Tate,Mississippi,"35,594","37,032","40,134"
Tippah,Mississippi,"36,755","38,248","42,051"
Tishomingo,Mississippi,"33,988","35,052","37,593"
Tunica,Mississippi,"32,016","35,554","40,994"
Union,Mississippi,"32,197","33,657","36,387"
Walthall,Mississippi,"31,720","32,414","34,814"
Warren,Mississippi,"39,825","41,129","44,422"
Washington,Mississippi,"36,753","37,699","43,778"
Wayne,Mississippi,"34,910","35,887","36,967"
Webster,Mississippi,"38,083","39,895","43,060"
Wilkinson,Mississippi,"29,247","30,772","34,759"
Winston,Mississippi,"35,202","36,845","38,970"
Yalobusha,Mississippi,"36,881","37,892","41,336"
Yazoo,Mississippi,"27,396","28,282","33,672"
Missouri,Missouri,"47,250","48,945","51,697"
Adair,Missouri,"32,071","32,852","34,867"
Andrew,Missouri,"42,913","45,556","48,186"
Atchison,Missouri,"38,102","46,412","53,958"
Audrain,Missouri,"36,992","38,057","42,029"
Barry,Missouri,"35,578","35,740","37,114"
Barton,Missouri,"34,500","35,404","42,031"
Bates,Missouri,"38,055","40,500","44,523"
Benton,Missouri,"37,119","38,401","40,318"
Bollinger,Missouri,"32,344","33,575","36,548"
Boone,Missouri,"46,674","49,114","51,330"
Buchanan,Missouri,"38,461","40,346","42,653"
Butler,Missouri,"35,403","36,122","40,255"
Caldwell,Missouri,"37,272","38,677","41,488"
Callaway,Missouri,"37,154","39,446","42,524"
Camden,Missouri,"37,656","38,767","40,778"
Cape Girardeau,Missouri,"45,070","45,469","47,386"
Carroll,Missouri,"42,295","46,568","50,990"
Carter,Missouri,"31,703","33,215","35,898"
Cass,Missouri,"46,998","48,541","50,654"
Cedar,Missouri,"30,814","31,439","34,130"
Chariton,Missouri,"41,120","43,955","49,650"
Christian,Missouri,"40,535","41,755","43,602"
Clark,Missouri,"33,439","35,733","40,825"
Clay,Missouri,"47,902","49,277","51,619"
Clinton,Missouri,"41,764","43,484","46,823"
Cole,Missouri,"46,057","48,726","51,905"
Cooper,Missouri,"38,260","40,091","44,486"
Crawford,Missouri,"35,485","36,035","38,430"
Dade,Missouri,"33,648","34,918","38,581"
Dallas,Missouri,"32,907","33,893","35,840"
Daviess,Missouri,"32,190","33,941","37,380"
DeKalb,Missouri,"27,878","34,340","36,799"
Dent,Missouri,"32,870","33,747","36,327"
Douglas,Missouri,"27,160","28,628","31,031"
Dunklin,Missouri,"34,129","36,310","38,821"
Franklin,Missouri,"44,343","46,258","48,108"
Gasconade,Missouri,"39,464","41,022","43,589"
Gentry,Missouri,"40,644","43,165","46,483"
Greene,Missouri,"44,068","45,981","47,388"
Grundy,Missouri,"34,037","35,358","39,098"
Harrison,Missouri,"34,937","36,562","41,238"
Henry,Missouri,"40,898","41,731","44,780"
Hickory,Missouri,"28,852","29,222","31,380"
Holt,Missouri,"44,023","50,307","56,644"
Howard,Missouri,"38,741","41,227","43,946"
Howell,Missouri,"33,833","35,152","37,414"
Iron,Missouri,"32,974","33,575","36,530"
Jackson,Missouri,"46,419","47,718","50,209"
Jasper,Missouri,"41,231","41,165","42,488"
Jefferson,Missouri,"42,428","43,873","46,027"
Johnson,Missouri,"36,821","37,654","40,207"
Knox,Missouri,"32,422","35,416","40,933"
Laclede,Missouri,"36,054","36,219","38,403"
Lafayette,Missouri,"41,712","42,613","45,825"
Lawrence,Missouri,"34,103","34,635","36,746"
Lewis,Missouri,"34,402","36,476","39,481"
Lincoln,Missouri,"40,388","41,183","44,032"
Linn,Missouri,"38,548","39,244","42,456"
Livingston,Missouri,"37,653","39,489","43,804"
McDonald,Missouri,"28,882","29,844","31,941"
Macon,Missouri,"41,194","41,400","44,785"
Madison,Missouri,"35,657","37,034","40,312"
Maries,Missouri,"32,504","34,764","37,638"
Marion,Missouri,"39,992","41,119","44,121"
Mercer,Missouri,"30,926","31,725","35,358"
Miller,Missouri,"35,460","36,124","39,349"
Mississippi,Missouri,"29,749","31,838","37,483"
Moniteau,Missouri,"35,508","37,826","41,930"
Monroe,Missouri,"38,807","41,105","44,528"
Montgomery,Missouri,"39,565","41,711","46,688"
Morgan,Missouri,"41,208","41,653","42,880"
New Madrid,Missouri,"33,001","37,493","41,953"
Newton,Missouri,"38,594","39,704","41,771"
Nodaway,Missouri,"30,828","32,782","36,315"
Oregon,Missouri,"29,404","30,634","33,166"
Osage,Missouri,"43,953","45,571","49,250"
Ozark,Missouri,"30,772","31,228","33,722"
Pemiscot,Missouri,"33,817","36,420","40,931"
Perry,Missouri,"41,085","42,152","45,002"
Pettis,Missouri,"37,080","38,247","40,971"
Phelps,Missouri,"39,077","39,916","42,030"
Pike,Missouri,"33,280","36,631","40,471"
Platte,Missouri,"58,013","58,794","60,698"
Polk,Missouri,"34,060","35,248","36,944"
Pulaski,Missouri,"39,580","41,866","44,732"
Putnam,Missouri,"34,489","35,844","39,308"
Ralls,Missouri,"38,145","39,925","44,688"
Randolph,Missouri,"38,996","39,385","42,615"
Ray,Missouri,"41,923","43,317","46,047"
Reynolds,Missouri,"33,863","35,427","38,107"
Ripley,Missouri,"30,410","31,050","34,297"
St. Charles,Missouri,"53,760","55,138","56,879"
St. Clair,Missouri,"28,954","30,219","33,058"
Ste. Genevieve,Missouri,"41,079","41,903","44,925"
St. Francois,Missouri,"34,122","34,982","37,377"
St. Louis,Missouri,"71,604","74,361","78,804"
Saline,Missouri,"36,194","38,156","43,076"
Schuyler,Missouri,"29,500","29,553","33,550"
Scotland,Missouri,"32,240","34,488","41,576"
Scott,Missouri,"39,991","41,315","44,148"
Shannon,Missouri,"29,950","30,499","33,071"
Shelby,Missouri,"37,606","39,963","45,373"
Stoddard,Missouri,"34,704","37,650","41,158"
Stone,Missouri,"38,662","40,138","41,975"
Sullivan,Missouri,"36,809","38,963","44,877"
Taney,Missouri,"36,181","37,146","38,859"
Texas,Missouri,"28,041","29,601","32,774"
Vernon,Missouri,"34,157","35,089","39,496"
Warren,Missouri,"41,825","42,665","45,011"
Washington,Missouri,"29,726","30,752","33,148"
Wayne,Missouri,"29,545","31,094","34,018"
Webster,Missouri,"32,445","33,841","35,845"
Worth,Missouri,"34,001","37,652","41,861"
Wright,Missouri,"32,044","32,792","35,480"
St. Louis City,Missouri,"46,129","48,683","51,041"
Montana,Montana,"48,021","50,099","53,361"
Beaverhead,Montana,"45,349","48,070","52,501"
Big Horn,Montana,"30,023","31,515","35,950"
Blaine,Montana,"29,952","30,806","36,301"
Broadwater,Montana,"43,116","45,732","48,786"
Carbon,Montana,"51,259","53,870","56,900"
Carter,Montana,"41,173","40,733","53,760"
Cascade,Montana,"47,529","49,201","52,226"
Chouteau,Montana,"37,561","40,738","48,627"
Custer,Montana,"44,581","47,174","51,268"
Daniels,Montana,"47,574","49,331","64,205"
Dawson,Montana,"46,795","46,622","50,972"
Deer Lodge,Montana,"38,910","40,985","45,039"
Fallon,Montana,"48,488","49,763","54,203"
Fergus,Montana,"42,019","45,588","48,900"
Flathead,Montana,"48,333","50,144","52,740"
Gallatin,Montana,"57,091","60,195","63,432"
Garfield,Montana,"33,531","33,179","44,812"
Glacier,Montana,"34,427","37,035","41,773"
Golden Valley,Montana,"48,783","50,027","56,481"
Granite,Montana,"43,710","45,815","49,242"
Hill,Montana,"45,108","45,987","50,018"
Jefferson,Montana,"47,812","50,147","52,770"
Judith Basin,Montana,"46,207","49,496","56,953"
Lake,Montana,"39,371","40,842","44,068"
Lewis and Clark,Montana,"48,692","50,915","54,040"
Liberty,Montana,"37,409","45,195","51,268"
Lincoln,Montana,"36,262","37,725","41,129"
McCone,Montana,"36,640","39,147","48,924"
Madison,Montana,"50,373","53,651","57,112"
Meagher,Montana,"43,282","45,173","49,730"
Mineral,Montana,"39,762","39,759","43,233"
Missoula,Montana,"49,616","51,738","54,353"
Musselshell,Montana,"44,064","46,093","49,756"
Park,Montana,"49,790","52,934","55,213"
Petroleum,Montana,"31,304","33,189","41,080"
Phillips,Montana,"39,732","41,271","48,341"
Pondera,Montana,"42,985","49,754","56,218"
Powder River,Montana,"32,647","34,282","44,756"
Powell,Montana,"41,785","43,912","47,024"
Prairie,Montana,"48,723","47,483","57,918"
Ravalli,Montana,"45,201","47,253","49,860"
Richland,Montana,"60,290","62,491","63,761"
Roosevelt,Montana,"35,907","36,309","41,531"
Rosebud,Montana,"43,776","45,239","50,566"
Sanders,Montana,"35,851","37,345","41,398"
Sheridan,Montana,"46,547","50,463","61,236"
Silver Bow,Montana,"47,686","48,263","50,672"
Stillwater,Montana,"52,948","54,288","57,382"
Sweet Grass,Montana,"46,324","49,597","54,287"
Teton,Montana,"46,228","48,870","53,172"
Toole,Montana,"48,545","53,369","60,089"
Treasure,Montana,"51,187","56,758","66,721"
Valley,Montana,"45,634","47,510","54,556"
Wheatland,Montana,"35,084","38,608","42,348"
Wibaux,Montana,"37,860","41,155","48,913"
Yellowstone,Montana,"52,508","54,213","56,588"
Nebraska,Nebraska,"52,560","54,037","57,570"
Adams,Nebraska,"48,052","50,017","53,232"
Antelope,Nebraska,"49,157","55,033","69,121"
Arthur,Nebraska,"44,076","46,098","53,618"
Banner,Nebraska,"49,901","50,306","59,097"
Blaine,Nebraska,"55,124","60,424","70,372"
Boone,Nebraska,"51,585","58,601","69,564"
Box Butte,Nebraska,"47,790","49,193","53,723"
Boyd,Nebraska,"50,777","56,197","62,078"
Brown,Nebraska,"50,644","55,182","60,280"
Buffalo,Nebraska,"55,710","57,582","60,230"
Burt,Nebraska,"45,269","49,088","53,602"
Butler,Nebraska,"46,867","49,790","56,101"
Cass,Nebraska,"51,466","53,998","57,220"
Cedar,Nebraska,"48,285","50,389","58,373"
Chase,Nebraska,"52,000","58,777","68,843"
Cherry,Nebraska,"42,250","44,279","50,817"
Cheyenne,Nebraska,"48,499","48,234","50,334"
Clay,Nebraska,"48,136","51,089","57,104"
Colfax,Nebraska,"41,567","43,925","49,977"
Cuming,Nebraska,"58,655","64,624","71,653"
Custer,Nebraska,"45,353","48,095","54,458"
Dakota,Nebraska,"41,843","44,062","47,062"
Dawes,Nebraska,"36,886","38,323","43,101"
Dawson,Nebraska,"42,358","44,940","49,096"
Deuel,Nebraska,"42,827","40,437","43,738"
Dixon,Nebraska,"40,648","44,444","49,974"
Dodge,Nebraska,"46,491","49,231","52,445"
Douglas,Nebraska,"62,536","63,072","65,737"
Dundy,Nebraska,"66,134","71,079","86,360"
Fillmore,Nebraska,"55,061","57,255","63,206"
Franklin,Nebraska,"46,042","49,798","57,959"
Frontier,Nebraska,"37,562","38,425","46,216"
Furnas,Nebraska,"41,781","45,337","53,727"
Gage,Nebraska,"47,234","48,993","52,843"
Garden,Nebraska,"43,386","46,002","50,671"
Garfield,Nebraska,"38,679","41,582","47,856"
