,,Per capita personal income (dollars),,
Lassen,California,"34,970","35,581","40,490"
Los Angeles,California,"59,874","63,043","68,272"
Madera,California,"37,373","38,751","44,532"
Marin,California,"132,000","138,903","145,575"
Mariposa,California,"51,530","53,861","57,828"
Mendocino,California,"47,694","49,803","54,795"
Merced,California,"37,193","37,952","43,914"
Modoc,California,"43,881","45,375","52,779"
Mono,California,"46,598","49,356","54,586"
Monterey,California,"53,625","56,545","61,510"
Napa,California,"70,161","73,886","82,408"
Nevada,California,"58,685","60,689","64,876"
Orange,California,"67,044","69,951","74,618"
Placer,California,"65,547","67,610","72,279"
Plumas,California,"49,485","51,044","55,029"
Riverside,California,"39,955","41,385","45,834"
Sacramento,California,"51,187","53,278","58,307"
San Benito,California,"50,703","52,806","60,807"
San Bernardino,California,"38,781","40,537","44,831"
San Diego,California,"58,719","60,845","66,266"
San Francisco,California,"129,280","133,856","144,818"
San Joaquin,California,"43,077","45,075","51,816"
San Luis Obispo,California,"55,913","58,693","62,342"
San Mateo,California,"125,332","132,133","141,841"
Santa Barbara,California,"60,818","62,715","67,879"
Santa Clara,California,"108,344","114,649","123,661"
Santa Cruz,California,"65,751","68,990","75,957"
Shasta,California,"44,549","46,417","51,649"
Sierra,California,"42,769","45,432","49,139"
Siskiyou,California,"42,887","44,158","49,664"
Solano,California,"49,336","51,889","58,688"
Sonoma,California,"61,501","64,869","71,386"
Stanislaus,California,"41,850","43,402","48,954"
Sutter,California,"43,336","45,054","50,730"
Tehama,California,"39,460","40,775","46,007"
Trinity,California,"38,249","39,959","43,877"
Tulare,California,"38,613","40,040","46,348"
Tuolumne,California,"44,695","46,166","49,708"
Ventura,California,"60,238","63,190","67,422"
Yolo,California,"51,690","54,398","58,391"
Yuba,California,"40,196","41,384","46,373"
Colorado,Colorado,"58,267","60,848","63,776"
Adams,Colorado,"43,482","45,026","48,115"
Alamosa,Colorado,"36,671","38,403","42,974"
Arapahoe,Colorado,"61,243","63,741","66,691"
Archuleta,Colorado,"42,313","43,253","46,287"
Baca,Colorado,"41,283","39,076","53,223"
Bent,Colorado,"27,096","29,253","33,591"
Boulder,Colorado,"72,607","77,305","79,649"
Broomfield,Colorado,"68,365","65,397","67,495"
Chaffee,Colorado,"46,488","48,991","51,361"
Cheyenne,Colorado,"39,384","52,633","61,731"
Clear Creek,Colorado,"59,243","62,927","67,132"
Conejos,Colorado,"35,096","35,296","39,847"
Costilla,Colorado,"32,570","33,520","38,430"
Crowley,Colorado,"19,656","20,086","23,751"
Custer,Colorado,"40,117","42,383","45,691"
Delta,Colorado,"37,900","38,293","42,127"
Denver,Colorado,"77,667","83,192","85,411"
Dolores,Colorado,"36,047","37,942","42,093"
Douglas,Colorado,"76,051","76,408","78,980"
Eagle,Colorado,"81,871","85,253","87,872"
Elbert,Colorado,"58,344","60,702","63,970"
El Paso,Colorado,"48,545","50,845","54,151"
Fremont,Colorado,"34,654","35,713","38,952"
Garfield,Colorado,"57,918","60,376","62,581"
Gilpin,Colorado,"47,816","50,517","55,256"
Grand,Colorado,"51,717","53,867","57,476"
Gunnison,Colorado,"46,973","47,372","51,025"
Hinsdale,Colorado,"47,322","48,227","49,423"
Huerfano,Colorado,"38,921","40,974","46,859"
Jackson,Colorado,"53,671","53,747","62,008"
Jefferson,Colorado,"62,402","66,183","68,829"
Kiowa,Colorado,"44,092","53,319","66,839"
Kit Carson,Colorado,"36,174","41,914","47,198"
Lake,Colorado,"35,846","37,102","40,344"
La Plata,Colorado,"55,994","57,722","61,304"
Larimer,Colorado,"53,836","55,935","58,725"
Las Animas,Colorado,"37,987","38,161","43,118"
Lincoln,Colorado,"28,066","29,415","35,695"
Logan,Colorado,"43,833","42,751","46,217"
Mesa,Colorado,"44,691","45,898","48,435"
Mineral,Colorado,"66,286","72,101","73,101"
Moffat,Colorado,"42,131","42,802","47,467"
Montezuma,Colorado,"41,684","42,988","46,919"
Montrose,Colorado,"40,933","41,922","45,262"
Morgan,Colorado,"44,559","44,991","48,701"
Otero,Colorado,"35,777","37,231","41,333"
Ouray,Colorado,"62,568","63,263","67,263"
Park,Colorado,"43,157","45,623","48,514"
Phillips,Colorado,"41,503","43,788","49,877"
Pitkin,Colorado,"150,112","156,830","155,067"
Prowers,Colorado,"39,659","39,120","41,990"
Pueblo,Colorado,"37,969","39,533","43,196"
Rio Blanco,Colorado,"46,929","48,829","52,422"
Rio Grande,Colorado,"45,214","48,202","53,641"
Routt,Colorado,"78,807","82,153","85,836"
Saguache,Colorado,"31,895","34,439","40,032"
San Juan,Colorado,"41,734","45,631","50,039"
San Miguel,Colorado,"85,260","89,728","93,954"
Sedgwick,Colorado,"39,979","44,765","50,896"
Summit,Colorado,"69,416","73,435","77,754"
Teller,Colorado,"49,047","51,337","54,587"
Washington,Colorado,"38,049","41,706","49,287"
Weld,Colorado,"47,884","48,923","52,054"
Yuma,Colorado,"41,981","44,056","47,285"
Connecticut,Connecticut,"73,929","75,794","78,609"
Fairfield,Connecticut,"116,757","118,515","120,244"
Hartford,Connecticut,"63,014","64,545","67,938"
Litchfield,Connecticut,"61,979","65,086","67,118"
Middlesex,Connecticut,"66,258","68,361","71,291"
New Haven,Connecticut,"54,773","56,710","60,092"
New London,Connecticut,"56,567","58,122","61,191"
